id_newsdesertsphysical,outlet_name_newsdesertsphysical,state_newsdesertsphysical,city_newsdesertsphysical,county_newsdesertsphysical,owner_id_newsdesertsphysical,owner_newsdesertsphysical,owner_type_newsdesertsphysical,frequency_newsdesertsphysical,total_circulation_newsdesertsphysical,days_published_newsdesertsphysical,ethnic_media_newsdesertsphysical,url_cleaned
NP2114,Gallatin Democrat,IL,Shawneetown,Gallatin,OW0984,Paddock Publications,Private,W,1150.0,1.0,No,digital.library.illinois.edu/collections/5416a2c0-5eeb-0133-a81a-0050569601ca-b
NP2051,Daily Union,IL,Shelbyville,Shelby,OW5092,CNHI,Investment,W,4156.0,2.0,No,unionnewsdaily.com
NP2381,Sidell Reporter,IL,Sidell,Vermilion,OW1110,Maddox Rinda,Private,W,737.0,1.0,No,thesidellreporter.com
NP2174,Illinois Times,IL,Springfield,Sangamon,OW4242,Central Illinois Communications,Private,W,27970.0,1.0,No,illinoistimes.com
NP2402,State Journal-Register,IL,Springfield,Sangamon,OW5094,Gannett/Gatehouse,Investment,D,34402.0,7.0,No,sj-r.com
NP2080,Elburn Herald,IL,St Charles,Kane,OW0754,Shaw Media,Private,W,3920.0,1.0,No,elburnherald.com
NP2403,Staunton Star-Times,IL,Staunton,Macoupin,OW1116,Haase Walter,Private,W,3970.0,1.0,No,stauntonstartimes.com
NP2043,Daily Gazette,IL,Sterling,Whiteside,OW0754,Shaw Media,Private,D,7488.0,6.0,No,dailygazette.com
NP9016,Scoop Today,IL,Stockton,Jo Daviess,OW0945,Rock Valley Publishing,Private,W,5000.0,1.0,No,thecity.nyc/the-scoop
NP2153,Henderson County Quill,IL,Stronghurst,Henderson,OW1024,Hancock-Henderson Quill,Private,W,1739.0,1.0,No,quillnewspaper.com
NP2284,News Progress,IL,Sullivan,Moultrie,OW1074,Best Newspapers In Illinois,Private,W,3735.0,1.0,No,thenewsprogress.com
NP2393,Southwest News-Herald,IL,Summit,Cook,OW4217,Hornung Mark,Private,W,9300.0,1.0,No,southwestregionalpublishing.com/news-herald
NP2060,Des Plaines Valley News,IL,Summit,Cook,OW4217,Hornung Mark,Private,W,,1.0,No,southwestregionalpublishing.com/desplaines-valley-news
NP2406,Sumner Press,IL,Sumner,Lawrence,OW1117,Sumner Press,Private,W,2300.0,1.0,No,sumnerpress.com
NP2408,Taylorville Daily Breeze-Courier,IL,Taylorville,Christian,OW1118,Breeze-Courier,Private,D,9500.0,6.0,No,breezecourier.com
NP2411,Teutopolis Press,IL,Teutopolis,Effingham,OW5094,Gannett/Gatehouse,Investment,W,1100.0,1.0,No,loc.gov/item/sn90054860
NP2003,Carroll County Review,IL,Thomson,Carroll,OW0962,Whitney Jonathan,Private,W,2196.0,1.0,No,chadwickil.com/community-connections/115-news-sources/104-the-carroll-county-review
NP2392,Southtown Star,IL,Tinley Park,Cook,OW5101,Tribune/Digital First,Investment,D,16709.0,6.0,No,southtownstar.suntimes.com
NP1992,Bureau Valley Chief,IL,Tiskilwa,Bureau,OW0955,John Murphy,Private,W,1300.0,1.0,No,chroniclingamerica.loc.gov/lccn/sn2005061806
NP2418,Toledo Democrat,IL,Toledo,Cumberland,OW1121,Billie Chambers,Private,W,1900.0,1.0,No,loc.gov/item/sn90054808
NP2421,Trenton Sun,IL,Trenton,Clinton,OW1123,Conley Mike,Private,W,1700.0,1.0,No,trentonsun.net
NP9022,Troy Times-Tribune,IL,Troy,Madison,OW4238,Steve Rensberry,Private,W,3603.0,1.0,No,timestribunenews.com
