id_newsdesertsdigital,outlet_name_newsdesertsdigital,state_newsdesertsdigital,city_newsdesertsdigital,county_newsdesertsdigital,medium_type_newsdesertsdigital,audience_newsdesertsdigital,ethnic_media_newsdesertsdigital,url_cleaned
DG0388,PSU Underground,PA,State College,Centre County,Online News Organization,Local,No,psuunderground.com
DG0389,State College.com,PA,State College,Centre County,Online News Organization,State,No,statecollege.com
DG0390,Spotlight PA,PA,Harrisburg,Dauphin County,Online News Organization,State,No,spotlightpa.org
DG0391,Chadds Ford Live,PA,Chadds Ford,Delaware County,Online News Organization,Local,No,chaddsfordlive.com
DG0392,Franklin County Free Press,PA,Chambersburg,Franklin County,Online News Organization,Local,No,fcfreepress.com
DG0393,Leb Town,PA,Lebanon,Lebanon County,Online News Organization,Local,No,lebtown.com
DG0394,NorthcentralPA,PA,Montoursville,Lycoming County,Online News Organization,Local,No,northcentralpa.com
DG0395,Sanatoga Post,PA,Sanatoga,Montgomery County,Online News Organization,Local,No,sanatogapost.com
DG0396,More Than The Curve,PA,Conshohocken,Montgomery County,Online News Organization,Local,No,morethanthecurve.com
DG0397,Saucon Source,PA,Hellertown,Northampton County,Online News Organization,Local,No,sauconsource.com
DG0398,Philadelphia Obituary Project,PA,Philadelphia,Philadelphia County,Online News Organization,Local,No,phillyobitproject.com
DG0399,Technical.ly Philly,PA,Philadelphia,Philadelphia County,Online News Organization,Local,No,technical.ly/philly
DG0400,Billy Penn,PA,Philadelphia,Philadelphia County,Online News Organization,Local,No,billypenn.com
DG0401,Hidden City Philadelphia,PA,Philadelphia,Philadelphia County,Online News Organization,Local,No,hiddencityphila.org
DG0402,West Philly Local,PA,Philadelphia,Philadelphia County,Online News Organization,Local,No,westphillylocal.com
DG0403,East Falls Local,PA,Philadelphia,Philadelphia County,Online News Organization,Local,No,eastfallslocal.com
DG0404,East Greenwich News,RI,East Greenwich,Kent County,Online News Organization,Local,No,eastgreenwichnews.com
DG0405,WhatsUpNewp,RI,Newport,Newport County,Online News Organization,Local,No,whatsupnewp.com
DG0406,Go Local Providence,RI,Providence,Providence County,Online News Organization,Local,No,golocalprov.com
DG0407,Eco RI,RI,Providence,Providence County,Online News Organization,Regional,No,ecori.org
DG0408,Noticias Rhode Island,RI,Providence,Providence County,Online News Organization,State,Yes,noticiasrhodeisland.com
DG0409,RINewsToday,RI,,,Online News Organization,State,No,rinewstoday.com
DG0410,GAB News Online,SC,Georgetown,Georgetown County,Online News Organization,Local,No,gabnewsonline.com
DG0411,Travelers Rest Tribune,SC,Travelers Rest,Greenville County,Online News Organization,Local,No,trtribune.com
DG0412,Carolina Panorama,SC,Columbia,Lexington County,Online News Organization,Local,Yes,carolinapanorama.com
DG0413,Fort Mill Sun,SC,Fort Mill,York County,Online News Organization,Local,No,fortmillsun.com
DG0414,Sioux Falls Business,SD,Sioux Falls,Minnehaha County,Online News Organization,Local,No,siouxfalls.business
DG0415,South Dakota News Watch,SD,Sioux Falls,Minnehaha County,Online News Organization,State,No,sdnewswatch.org
DG0416,Oak Ridge Today,TN,Oak Ridge,Anderson County,Online News Organization,Local,No,oakridgetoday.com
DG0417,AntiochTenn.com,TN,Antioch,Davidson County,Online News Organization,Local,No,antiochtenn.com
DG0418,Nashville Noticias,TN,Nashville,Davidson County,Online News Organization,Local,Yes,nashvillenoticias.com
DG0419,Rutherford Source,TN,Rutherford,Gibson County,Online News Organization,Local,No,rutherfordsource.com
DG0420,Nooga.com,TN,Chattanooga,Hamilton County,Online News Organization,Local,No,nooga.com
DG0421,Chattanoogan,TN,Chattanooga,Hamilton County,Online News Organization,Local,No,chattanoogan.com
DG0422,Knoxville TN Today,TN,Knoxville,Knox County,Online News Organization,Local,No,knoxtntoday.com
DG0423,Spring Hill Home Page,TN,Spring Hill,Maury County,Online News Organization,Local,No,springhillhomepage.com
DG0424,MLK 50,TN,Memphis,Shelby County,Online News Organization,Local,No,mlk50.com
